,hidden_layers,hidden_units1,hidden_units2,hidden_units3,hidden_units4,hidden_units5,dropout_rate1,dropout_rate2,dropout_rate3,dropout_rate4,dropout_rate5,learning_rate,batch_size,Validation_MAE,Validation_MSE
0,1,34,111,,,,0.39407942582711375,0.18017478526700714,,,,0.06993252706220912,29,942.3603515625,16.577159881591797
1,3,125,40,16,19,,0.33606818865064403,0.24923943857797248,0.22052130425697022,0.17902791579242783,,0.05245016089456776,59,1209.4049072265625,19.81385040283203
2,3,81,85,24,84,,0.10953406466616424,0.11584979281693275,0.1502749808915595,0.16798868518090376,,0.026974315343449684,29,9033.1552734375,67.93376159667969
3,3,164,156,85,112,,0.19756883868766686,0.30475140513931864,0.21692759841766643,0.32224519763114856,,0.03105682337129327,24,633817.6875,523.46826171875
4,3,10,192,95,38,,0.19986040394614937,0.19843687114670955,0.18227565135281854,0.24888307059033954,,0.08839503207466487,48,7334645760.0,31788.232421875
5,1,114,88,,,,0.20049451313911876,0.15243785590667325,,,,0.01716226650553157,35,492.17401123046875,13.241802215576172
6,2,83,97,116,,,0.24014264979693142,0.1861900416799851,0.3836713279392029,,,0.005952686037547866,19,119477.9140625,232.77618408203125
7,1,77,140,,,,0.2536683379989888,0.3852523346071711,,,,0.014668882510167,21,724.08837890625,19.027971267700195
8,3,138,149,28,116,,0.34738558636577305,0.33480946872210027,0.23002436296963186,0.2738358573509226,,0.07211965535264524,36,3265695232.0,49682.12109375
9,2,117,50,170,,,0.3511254317123863,0.35548931558309704,0.20198073795579655,,,0.009041536926067475,10,275064.59375,399.40118408203125
